[2026-09-01 14:06:30] NEW FILE TOTAL: 0/250 (0.0%) | LESSON PLANS: 0 (>20 req) | GRADES 1-12: [C1:0, C2:0, C3:0, C4:0, C5:0, C6:0, C7:0, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:12:30] NEW FILE TOTAL: 8/250 (3.2%) | LESSON PLANS: 6 (>20 req) | GRADES 1-12: [C1:0, C2:0, C3:1, C4:3, C5:2, C6:2, C7:0, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +1 in 30s
[2026-09-01 14:13:00] NEW FILE TOTAL: 11/250 (4.4%) | LESSON PLANS: 7 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:3, C7:0, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +3 in 30s
[2026-09-01 14:13:30] NEW FILE TOTAL: 12/250 (4.8%) | LESSON PLANS: 7 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:4, C7:0, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +1 in 30s
[2026-09-01 14:14:00] NEW FILE TOTAL: 13/250 (5.2%) | LESSON PLANS: 7 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:4, C7:1, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +1 in 30s
[2026-09-01 14:14:30] NEW FILE TOTAL: 14/250 (5.6%) | LESSON PLANS: 8 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:5, C7:1, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +1 in 30s
[2026-09-01 14:15:00] NEW FILE TOTAL: 14/250 (5.6%) | LESSON PLANS: 8 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:5, C7:1, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:15:30] NEW FILE TOTAL: 14/250 (5.6%) | LESSON PLANS: 8 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:5, C7:1, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:16:00] NEW FILE TOTAL: 16/250 (6.4%) | LESSON PLANS: 8 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:1, C8:1, C9:0, C10:0, C11:0, C12:0] | RATE: +2 in 30s
[2026-09-01 14:16:30] NEW FILE TOTAL: 16/250 (6.4%) | LESSON PLANS: 8 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:1, C8:1, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:17:00] NEW FILE TOTAL: 16/250 (6.4%) | LESSON PLANS: 8 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:1, C8:1, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:17:30] NEW FILE TOTAL: 17/250 (6.8%) | LESSON PLANS: 8 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:1, C8:2, C9:0, C10:0, C11:0, C12:0] | RATE: +1 in 30s
[2026-09-01 14:18:00] NEW FILE TOTAL: 19/250 (7.6%) | LESSON PLANS: 9 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:2, C9:0, C10:1, C11:0, C12:0] | RATE: +2 in 30s
[2026-09-01 14:18:30] NEW FILE TOTAL: 21/250 (8.4%) | LESSON PLANS: 10 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:2, C9:2, C10:1, C11:0, C12:0] | RATE: +2 in 30s
[2026-09-01 14:19:00] NEW FILE TOTAL: 21/250 (8.4%) | LESSON PLANS: 10 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:2, C9:2, C10:1, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:19:30] NEW FILE TOTAL: 21/250 (8.4%) | LESSON PLANS: 10 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:2, C9:2, C10:1, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:20:00] NEW FILE TOTAL: 22/250 (8.8%) | LESSON PLANS: 10 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:3, C9:2, C10:1, C11:0, C12:0] | RATE: +1 in 30s
[2026-09-01 14:20:30] NEW FILE TOTAL: 24/250 (9.6%) | LESSON PLANS: 12 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:3, C9:3, C10:2, C11:0, C12:0] | RATE: +2 in 30s
[2026-09-01 14:21:00] NEW FILE TOTAL: 24/250 (9.6%) | LESSON PLANS: 12 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:3, C9:3, C10:2, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:21:30] NEW FILE TOTAL: 26/250 (10.4%) | LESSON PLANS: 13 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:3, C9:4, C10:2, C11:0, C12:1] | RATE: +2 in 30s
[2026-09-01 14:22:00] NEW FILE TOTAL: 27/250 (10.8%) | LESSON PLANS: 13 (>20 req) | GRADES 1-12: [C1:0, C2:1, C3:2, C4:3, C5:2, C6:6, C7:2, C8:3, C9:4, C10:3, C11:0, C12:1] | RATE: +1 in 30s
[2026-09-01 14:22:30] NEW FILE TOTAL: 31/250 (12.4%) | LESSON PLANS: 15 (>20 req) | GRADES 1-12: [C1:1, C2:2, C3:2, C4:3, C5:2, C6:6, C7:2, C8:3, C9:4, C10:3, C11:2, C12:1] | RATE: +4 in 30s
[2026-09-01 14:23:00] NEW FILE TOTAL: 35/250 (14.0%) | LESSON PLANS: 15 (>20 req) | GRADES 1-12: [C1:1, C2:4, C3:2, C4:3, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:2, C12:2] | RATE: +4 in 30s
[2026-09-01 14:23:30] NEW FILE TOTAL: 37/250 (14.8%) | LESSON PLANS: 15 (>20 req) | GRADES 1-12: [C1:1, C2:5, C3:2, C4:3, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +2 in 30s
[2026-09-01 14:24:00] NEW FILE TOTAL: 38/250 (15.2%) | LESSON PLANS: 16 (>20 req) | GRADES 1-12: [C1:2, C2:5, C3:2, C4:3, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +1 in 30s
[2026-09-01 14:24:30] NEW FILE TOTAL: 39/250 (15.6%) | LESSON PLANS: 16 (>20 req) | GRADES 1-12: [C1:2, C2:5, C3:3, C4:3, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +1 in 30s
[2026-09-01 14:25:00] NEW FILE TOTAL: 40/250 (16.0%) | LESSON PLANS: 16 (>20 req) | GRADES 1-12: [C1:3, C2:5, C3:3, C4:3, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +1 in 30s
[2026-09-01 14:25:30] NEW FILE TOTAL: 40/250 (16.0%) | LESSON PLANS: 16 (>20 req) | GRADES 1-12: [C1:3, C2:5, C3:3, C4:3, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +0 in 30s
[2026-09-01 14:26:00] NEW FILE TOTAL: 40/250 (16.0%) | LESSON PLANS: 16 (>20 req) | GRADES 1-12: [C1:3, C2:5, C3:3, C4:3, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +0 in 30s
[2026-09-01 14:26:30] NEW FILE TOTAL: 42/250 (16.8%) | LESSON PLANS: 18 (>20 req) | GRADES 1-12: [C1:3, C2:6, C3:3, C4:4, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +2 in 30s
[2026-09-01 14:27:00] NEW FILE TOTAL: 42/250 (16.8%) | LESSON PLANS: 18 (>20 req) | GRADES 1-12: [C1:3, C2:6, C3:3, C4:4, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +0 in 30s
[2026-09-01 14:27:30] NEW FILE TOTAL: 43/250 (17.2%) | LESSON PLANS: 18 (>20 req) | GRADES 1-12: [C1:4, C2:6, C3:3, C4:4, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +1 in 30s
[2026-09-01 14:28:00] NEW FILE TOTAL: 43/250 (17.2%) | LESSON PLANS: 18 (>20 req) | GRADES 1-12: [C1:4, C2:6, C3:3, C4:4, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:2] | RATE: +0 in 30s
[2026-09-01 14:28:30] NEW FILE TOTAL: 44/250 (17.6%) | LESSON PLANS: 18 (>20 req) | GRADES 1-12: [C1:4, C2:6, C3:3, C4:4, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:29:00] NEW FILE TOTAL: 44/250 (17.6%) | LESSON PLANS: 18 (>20 req) | GRADES 1-12: [C1:4, C2:6, C3:3, C4:4, C5:2, C6:6, C7:2, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:29:30] NEW FILE TOTAL: 45/250 (18.0%) | LESSON PLANS: 18 (>20 req) | GRADES 1-12: [C1:4, C2:6, C3:3, C4:4, C5:2, C6:7, C7:2, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:30:00] NEW FILE TOTAL: 48/250 (19.2%) | LESSON PLANS: 21 (>20 req) | GRADES 1-12: [C1:5, C2:7, C3:3, C4:4, C5:2, C6:7, C7:3, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +3 in 30s
[2026-09-01 14:30:30] NEW FILE TOTAL: 49/250 (19.6%) | LESSON PLANS: 21 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:3, C4:4, C5:2, C6:7, C7:3, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:31:00] NEW FILE TOTAL: 51/250 (20.4%) | LESSON PLANS: 21 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:4, C4:4, C5:3, C6:7, C7:3, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +2 in 30s
[2026-09-01 14:31:30] NEW FILE TOTAL: 53/250 (21.2%) | LESSON PLANS: 22 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:5, C4:4, C5:4, C6:7, C7:3, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +2 in 30s
[2026-09-01 14:32:00] NEW FILE TOTAL: 53/250 (21.2%) | LESSON PLANS: 22 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:5, C4:4, C5:4, C6:7, C7:3, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:32:30] NEW FILE TOTAL: 53/250 (21.2%) | LESSON PLANS: 22 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:5, C4:4, C5:4, C6:7, C7:3, C8:4, C9:4, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:33:00] NEW FILE TOTAL: 56/250 (22.4%) | LESSON PLANS: 23 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:6, C4:4, C5:4, C6:7, C7:4, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +3 in 30s
[2026-09-01 14:33:30] NEW FILE TOTAL: 56/250 (22.4%) | LESSON PLANS: 23 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:6, C4:4, C5:4, C6:7, C7:4, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:34:00] NEW FILE TOTAL: 57/250 (22.8%) | LESSON PLANS: 24 (>20 req) | GRADES 1-12: [C1:5, C2:8, C3:6, C4:4, C5:4, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:34:30] NEW FILE TOTAL: 58/250 (23.2%) | LESSON PLANS: 24 (>20 req) | GRADES 1-12: [C1:6, C2:8, C3:6, C4:4, C5:4, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:35:00] NEW FILE TOTAL: 58/250 (23.2%) | LESSON PLANS: 24 (>20 req) | GRADES 1-12: [C1:6, C2:8, C3:6, C4:4, C5:4, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:35:30] NEW FILE TOTAL: 58/250 (23.2%) | LESSON PLANS: 24 (>20 req) | GRADES 1-12: [C1:6, C2:8, C3:6, C4:4, C5:4, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:36:00] NEW FILE TOTAL: 59/250 (23.6%) | LESSON PLANS: 24 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:4, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:36:30] NEW FILE TOTAL: 59/250 (23.6%) | LESSON PLANS: 24 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:4, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:37:00] NEW FILE TOTAL: 59/250 (23.6%) | LESSON PLANS: 24 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:4, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:37:30] NEW FILE TOTAL: 61/250 (24.4%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:6, C6:7, C7:5, C8:4, C9:5, C10:3, C11:3, C12:3] | RATE: +2 in 30s
[2026-09-01 14:38:00] NEW FILE TOTAL: 62/250 (24.8%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:38:30] NEW FILE TOTAL: 62/250 (24.8%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:39:00] NEW FILE TOTAL: 62/250 (24.8%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:39:30] NEW FILE TOTAL: 62/250 (24.8%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:8, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:40:00] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:40:30] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:41:00] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:41:30] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:42:00] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:42:30] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:43:00] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:43:30] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:44:00] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:44:30] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:45:00] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:45:30] NEW FILE TOTAL: 63/250 (25.2%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:6, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:46:00] NEW FILE TOTAL: 64/250 (25.6%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:46:30] NEW FILE TOTAL: 64/250 (25.6%) | LESSON PLANS: 25 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:3, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:47:00] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:47:30] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:48:00] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:48:30] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:49:00] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:49:30] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:50:00] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:50:30] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:51:00] NEW FILE TOTAL: 65/250 (26.0%) | LESSON PLANS: 26 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:4, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:51:30] NEW FILE TOTAL: 66/250 (26.4%) | LESSON PLANS: 27 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:3, C12:3] | RATE: +1 in 30s
[2026-09-01 14:52:00] NEW FILE TOTAL: 66/250 (26.4%) | LESSON PLANS: 27 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:52:30] NEW FILE TOTAL: 66/250 (26.4%) | LESSON PLANS: 27 (>20 req) | GRADES 1-12: [C1:7, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:3, C12:3] | RATE: +0 in 30s
[2026-09-01 14:53:00] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +2 in 30s
[2026-09-01 14:53:30] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:54:00] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:54:30] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:55:00] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:55:30] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
